class_index,label,plant,disease_name,category,severity,action_code,response_message
0,Apple___Apple_scab,Apple,Apple scab,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Apple: Fungal symptoms detected (Apple scab). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
1,Apple___Black_rot,Apple,Black rot,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Apple: Fungal symptoms detected (Black rot). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
2,Apple___Cedar_apple_rust,Apple,Cedar apple rust,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Apple: Fungal symptoms detected (Cedar apple rust). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
3,Apple___healthy,Apple,healthy,Healthy,none,SHOW_HEALTHY_CARE,"Healthy: Apple: No disease detected. Keep monitoring weekly. Water at soil level, avoid wetting foliage, and ensure good airflow. Fertilize as appropriate and remove any damaged leaves."
4,Blueberry___healthy,Blueberry,healthy,Healthy,none,SHOW_HEALTHY_CARE,"Healthy: Blueberry: No disease detected. Keep monitoring weekly. Water at soil level, avoid wetting foliage, and ensure good airflow. Fertilize as appropriate and remove any damaged leaves."
5,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour),Powdery mildew,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Cherry_(including_sour): Fungal symptoms detected (Powdery mildew). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
6,Cherry_(including_sour)___healthy,Cherry_(including_sour),healthy,Healthy,none,SHOW_HEALTHY_CARE,"Healthy: Cherry_(including_sour): No disease detected. Keep monitoring weekly. Water at soil level, avoid wetting foliage, and ensure good airflow. Fertilize as appropriate and remove any damaged leaves."
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize),Cercospora leaf spot Gray leaf spot,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Corn_(maize): Fungal symptoms detected (Cercospora leaf spot Gray leaf spot). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
8,Corn_(maize)___Common_rust_,Corn_(maize),Common rust,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Corn_(maize): Fungal symptoms detected (Common rust). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
9,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize),Northern Leaf Blight,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Corn_(maize): Fungal symptoms detected (Northern Leaf Blight). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
10,Corn_(maize)___healthy,Corn_(maize),healthy,Healthy,none,SHOW_HEALTHY_CARE,"Healthy: Corn_(maize): No disease detected. Keep monitoring weekly. Water at soil level, avoid wetting foliage, and ensure good airflow. Fertilize as appropriate and remove any damaged leaves."
11,Grape___Black_rot,Grape,Black rot,Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Grape: Fungal symptoms detected (Black rot). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
12,Grape___Esca_(Black_Measles),Grape,Esca (Black Measles),Fungal disease,medium,SHOW_TREATMENT_FUNGAL,"Fungal disease: Grape: Fungal symptoms detected (Esca (Black Measles)). Prune and discard infected leaves (do not compost), improve airflow, water at soil level, and apply a suitable fungicide (e.g., sulfur/copper/chlorothalonil) per label. Rotate crops and clean tools."
